Name|Semantic tags|"Doppelzuordnung ""Building"" und ""Outdoor"" & Begründung"|Implikationen|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
grates or openings on exterior accessible route|<WTB>|nein||highway=access_ramp, inlet=direct, inlet=curb_grate, inlet=curb_opening, inlet=grate, inlet=screen, wheelchair=limited, wheelchair=yes|grates=yes, openings=yes, route=accessible|Way to building|Exterior accessible route|grates or openings||Accessibility#accessibleWith.wheelchair == true, Accessibility#partiallyAccessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Accessibility#partiallyAccessibleWith.wheelchair
building part for apartments|<PRT>|nein||building:part=apartments|||||||
building part under construction|<PRT>|nein||building:part=construction|||||||
commercial part of building|<PRT>|nein||building:part=commercial|||||||
garage is part of building|<PRT>|nein||building:part=garage|||||||
house is building part|<PRT>|nein||building:part=house|||||||StructuredAddress#house, StructuredAddress#street
industrial part of building|<PRT>|nein||building:part=industrial|||||||
part of building|<PRT>|nein||building:part=yes|||||||
part of building is a school|<PRT>|nein||building:part=school|||||||
part of building is the roof|<PRT>|nein||building:part=roof|||||||
residential part of building|<PRT>|nein||building:part=residential|||||||
retail part of building|<PRT>|nein||building:part=retail|||||||
fortification used to defend settlements|<STRUCT>|ja; könnte als Gebäude betrachtet werden||barrier=city_wall|||||||
feature is located on the roof of a building|<POS>|ja; Outdoor-Objekt besitzt Bezug zum Gebäude||location=roof, location=rooftop|||||||WheelchairParking#location
object is only partially covered|<STRUCT>|ja; Outdoor-Objekt besitzt Bezug zum Gebäude|wenn innerhalb Gebäudefläche: Objekt befindet sich Außenbereich, beschränke Innenfläche der betroffenen Gebäudestockwerke sollte erfasst werden|covered=partial|||||||
arcade is a succession of arches|<STRUCT>|ja; Gebäudebestandteil schafft Outdoor-Bereich|wenn innerhalb Gebäudefläche: Objekt befindet sich Außenbereich, beschränke Innenfläche der betroffenen Gebäudestockwerke sollte erfasst werden|covered=arcade|||||||
colonnade denotes a long sequence of columns joined by their entablature|<STRUCT>|ja; Gebäudebestandteil schafft Outdoor-Bereich|wenn innerhalb Gebäudefläche: Objekt befindet sich Außenbereich, beschränke Innenfläche der betroffenen Gebäudestockwerke sollte erfasst werden|covered=colonnade|||||||
covered objects which are not covered by an arcade or a colonnade|<STRUCT>|ja; Gebäudebestandteil schafft Outdoor-Bereich|wenn innerhalb Gebäudefläche: Objekt befindet sich Außenbereich, beschränke Innenfläche der betroffenen Gebäudestockwerke sollte erfasst werden|covered=yes|||||||
coverings type|<STRUCT>|ja; Gebäudebestandteil schafft Outdoor-Bereich|wenn innerhalb Gebäudefläche: Objekt befindet sich Außenbereich, beschränke Innenfläche der betroffenen Gebäudestockwerke sollte erfasst werden|covered=arcade, covered=booth, covered=colonnade, covered=partial, covered=yes||Building characteristics|Floor (pathway)|material [1]|coverings type||
shape of building / structure / layout|<PROP>|nein||building:form=box; building:form=I-shaped; building:form=L-shaped; building:form=other; building:form=rectangular; building:form=T-shaped||General building information|Formal information|shape of building / structure / layout|||PlaceInfo#accessibility
